Skeleton ID,Side Analyzed,Metopic suture present,Supraorbital foramen,Supraorbital notch,Infraorbital suture,Multiple infraorbital foramina,Zygomaticofacial foramina,Os japonicum present,Parietal foramen,Coronal ossicle,Bregmatic ossicle,Sagittal ossicle,Epipteric ossicle,Parietal notch ossicle,Occipitomastoid ossicle,Asterionic ossicle,Apical/Lambda ossicle,Lambdoidal suture ossicle,Os inca,Condylar facet double,Condylar canal present,Divided hypoglossal canal,Tympanic dihiscence,Mastoid foramen extrasutural,Mastoid foramen absent,Auditory exostosis present,Mental foramen multiple,Mylohyoid bridge present
"F1C","Some of Both","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","1","1","0","0","1","0","0","0","1","0","0","0"
"F1D","Left","0","0","1","0","0","0","0","2","0","0","2","0","0","0","0","2","2","2","0","1","0","0","0","1","0","0","0"
"F3A","Some of Both","0","1","0","2","2","1","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","0","2","2"
"F3B","Some of Both","0","1","0","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"F3C","Some of Both","0","0","1","0","0","0","0","2","0","0","2","0","0","0","0","2","2","0","0","1","0","0","0","0","0","0","0"
"F4B","Some of Both","0","0","0","1","0","1","0","1","2","0","2","0","0","0","1","0","1","0","0","1","0","0","1","0","0","0","0"
"F4C","Some of Both","2","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","1","0","0","0"
"F5A","Some of Both","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","2","0","0","1","0","0","0","0"
"F6E","Some of Both","0","1","1","0","0","0","0","2","2","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"F7B","Some of Both","0","0","1","2","0","2","2","1","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"F9C","Some of Both","2","2","2","0","0","0","0","2","2","2","2","2","2","2","2","0","1","0","0","1","0","2","2","2","2","0","0"
"T10","Some of Both","0","1","0","0","0","0","0","0","0","0","2","0","0","2","0","0","1","0","2","2","2","0","0","0","1","0","0"
"T12","Some of Both","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","0","2","0","2","2","2","0","2","2"
"T13","Some of Both","0","2","2","0","0","0","0","2","2","2","2","2","2","2","2","2","2","2","0","2","1","0","2","2","0","0","0"
"T14","Some of Both","0","1","0","1","0","0","2","0","2","2","0","2","1","1","2","0","1","0","0","1","0","0","0","0","0","0","0"
"T15","Some of Both","0","0","1","0","0","1","0","1","0","0","2","0","0","0","1","2","1","0","0","2","1","0","0","0","0","0","0"
